retriever,modelo,criterio,modo,n,parou_%,censurado_dmax,censurado_tokens,D_iter_medio,D_iter_mediana,D_chunk_medio,T_total_medio,n_inferencias_media,conformidade_json_%,json_estrito_%,max_tokens_%,S_f1_medio,S_p_medio,S_r_medio,razao_compr_mediana,tempo_medio_s,vram_pico_gb,parou_no_gold_%
qwen3,gpt-oss:20b,json,fixo50,192,96.875,6,0,1.0,1.0,37.38172043010753,29722.609375,1.0,98.95833333333333,95.83333333333333,3.125,0.7494162996299565,0.7509542160357038,0.7593369220073024,1.0,12.894295180837313,16.660826206207275,0.0
qwen3,gpt-oss:20b,json,incremental,192,99.47916666666667,0,1,1.2827225130890052,1.0,1.2722513089005236,6196.052083333333,1.4947916666666667,99.65156794425087,99.30313588850174,0.34843205574912894,0.7482112281334897,0.7768902423170706,0.7332724913333853,0.8253258120988135,8.056577142328024,16.613315105438232,79.72972972972973
qwen3,gpt-oss:20b,json,iterativo,192,97.91666666666667,4,0,1.452127659574468,1.0,1.0,3029.5625,2.4635416666666665,99.78858350951374,99.57716701902748,0.21141649048625794,0.7454948375622431,0.7772759871246914,0.728272237504522,0.7958333333333334,9.115413591265678,13.44998025894165,79.72972972972973
qwen3,gpt-oss:20b,regex,fixo50,192,97.39583333333333,5,0,1.0,1.0,37.42245989304813,29785.171875,1.0,,,7.8125,0.7010518231739601,0.653663493382434,0.7651848910997311,1.7944444444444445,16.124548614025116,16.6627516746521,0.0
qwen3,gpt-oss:20b,regex,incremental,192,100.0,0,0,1.1927083333333333,1.0,1.1822916666666667,2574.453125,1.1927083333333333,,,0.4366812227074236,0.7213880127916733,0.6931557591694096,0.7608769267487029,1.2692939244663384,8.29779064655304,14.634718418121338,79.72972972972973
qwen3,gpt-oss:20b,regex,iterativo,192,100.0,0,0,1.1041666666666667,1.0,1.0,1422.734375,1.1041666666666667,,,0.4716981132075472,0.7248613641907772,0.697268474381417,0.7633948948544761,1.2692939244663384,7.916630117843549,13.432148456573486,81.08108108108108
qwen3,mistral-small3.1:latest,json,fixo50,192,94.79166666666667,10,0,1.0,1.0,33.642857142857146,31456.270833333332,1.0,100.0,97.91666666666667,2.0833333333333335,0.7779109003022313,0.8093755339893202,0.7601723936386406,0.9228635583146216,12.119778787096342,25.692139625549316,0.0
qwen3,mistral-small3.1:latest,json,incremental,192,95.83333333333333,2,6,2.6467391304347827,1.0,2.505434782608696,48132.260416666664,4.432291666666667,100.0,99.64747356051704,0.23501762632197415,0.7718832401248316,0.810872434793661,0.746771744141976,0.8198377581120944,16.91907837614417,25.668914794921875,81.08108108108108
qwen3,mistral-small3.1:latest,json,iterativo,192,91.66666666666667,16,0,1.75,1.0,1.0,8310.5625,5.770833333333333,100.0,99.90974729241877,0.0,0.7536727328163882,0.797489087873449,0.7244123903413614,0.7285913528591352,6.670245910684268,15.571113586425781,79.72972972972973
qwen3,mistral-small3.1:latest,regex,fixo50,192,96.35416666666667,7,0,1.0,1.0,33.84864864864865,31498.046875,1.0,,,4.6875,0.7810205252220234,0.755199348864456,0.8177497475408018,1.3281794425087108,14.051069300621748,25.692139625549316,0.0
qwen3,mistral-small3.1:latest,regex,incremental,192,97.91666666666667,1,3,2.1117021276595747,1.0,1.9414893617021276,29721.375,3.015625,,,0.690846286701209,0.7815700126811862,0.7652122833145162,0.8072779662907124,1.18789568887549,13.498413421213627,25.67177391052246,83.78378378378379
qwen3,mistral-small3.1:latest,regex,iterativo,192,96.35416666666667,7,0,1.7459459459459459,1.0,1.0,5242.234375,3.5052083333333335,,,0.2971768202080238,0.7738299360498786,0.7623989162966609,0.7947120781367024,1.1366666666666667,7.143886615832646,15.53925895690918,82.43243243243244
qwen3,qwen3.8:27b,json,fixo50,192,92.1875,15,0,1.0,1.0,32.72316384180791,26897.4375,1.0,100.0,100.0,0.0,0.7980394031231602,0.8048887130183479,0.7996742824713389,1.0,20.50368971253435,26.868992805480957,0.0
qwen3,qwen3.8:27b,json,incremental,192,92.1875,1,14,1.4293785310734464,1.0,1.3954802259887005,50658.40625,4.614583333333333,100.0,100.0,0.0,0.784589395703127,0.8132522956778606,0.7655488414069017,0.8761785040854808,32.69973819578687,26.867076873779297,79.72972972972973
qwen3,qwen3.8:27b,json,iterativo,192,91.14583333333333,17,0,1.8057142857142856,1.0,1.0,7565.208333333333,6.072916666666667,100.0,100.0,0.0,0.7767559719892839,0.8082251378024617,0.7556753228418529,0.8509259259259259,12.431231231739124,18.656306266784668,79.72972972972973
qwen3,qwen3.8:27b,regex,fixo50,192,95.83333333333333,8,0,1.0,1.0,32.88586956521739,27030.505208333332,1.0,,,4.166666666666667,0.7441689499343435,0.6937159445757667,0.8125577410683036,1.9699074074074074,29.52708513662219,26.867599487304688,0.0
qwen3,qwen3.8:27b,regex,incremental,192,98.4375,0,3,1.9206349206349207,1.0,1.8518518518518519,18478.473958333332,2.5208333333333335,,,0.2066115702479339,0.7520530658463637,0.7180727800975243,0.7977080107666552,1.430017605633803,32.833370131750904,26.841402053833008,78.37837837837837
qwen3,qwen3.8:27b,regex,iterativo,192,95.83333333333333,8,0,1.7934782608695652,1.0,1.0,4552.109375,3.8020833333333335,,,0.136986301369863,0.7519098427146673,0.7245712770769993,0.7893146490678191,1.3358974358974358,20.724236013988655,18.63063144683838,79.72972972972973
